MovieRating,NumberofRatings,Movie,Industry, Year, Genre
9.2,2074668, Shawshank Redemption, Hollywood, 1994, Drama
9.2,1423524, Godfather, Hollywood, 1972, Drama
9.2,987971, Godfather 2, Hollywood, 1974, Drama
9,2040432, Dark Knight, Hollywood, 2008, Drama
8.9,586216,12 Angry Men, Hollywood, 1957, Drama
8.9,1075220, Schindler's List, Hollywood, 1993,Drama  
8.9,1476841, Return of the King, Hollywood, 2003, Drama
8.9,1622425, Pulp Fiction, Hollywood, 1994, Drama
8.8,615766,The Good the Bad and the Ugly, Hollywood, 1966, Western
8.8,1660047, Fight Club, Hollywood, 1999, Drama
