MovieRating,NumberofRatings,Movie,Industry, Year, Genre
9.2,2074668, Shawshank Redemption, Hollywood, 1994, Drama
9.2,1423524, Godfather, Hollywood, 1972, Drama
9.2,987971, Godfather 2, Hollywood, 1974, Drama
9,2040432, Dark Knight, Hollywood, 2008, Drama
8.9,586216,12 Angry Men, Hollywood, 1957, Drama
8.9,1075220, Schindler's List, Hollywood, 1993,Drama  
8.9,1476841, Return of the King, Hollywood, 2003, Drama
8.9,1622425, Pulp Fiction, Hollywood, 1994, Drama
8.8,615766,The Good the Bad and the Ugly, Hollywood, 1966, Western
8.8,1660047, Fight Club, Hollywood, 1999, Drama
8.7,22665,Anand, Bollywood,1971,Drama
8.8,23931,Drishyam,Bollywood,2013,Drama
8.8,13023,Nayakan,Bollywood,1987,Drama
8.5,12850,Anbe Sivam,Bollywood,2003,Drama
8.6,15363,Gol Maal,Bollywood,1979,Comedy
8.7,18139,Vikram Vedha, Bollywood, 2017,Thriller
8.6,16028,Black Friday, Bollywood,2004, Drama
8.8,9916,Ratsasan, Bollywood, 2018, Crime
8.5,118768,Dangal, Bollywood,2016,Drama
8.5,18960, Pather Panchali, Bollywood, 1955, Drama









